arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
[grader] epoch 10/30 loss 0.3495 AUC(ref) 0.8914 QWK 0.7038 acc 0.5643 sens(g>=3) 0.7344
  ep11 step 0/348 loss 0.2241
  ep11 step 20/348 loss 0.3249
  ep11 step 40/348 loss 0.3459
  ep11 step 60/348 loss 0.3533
  ep11 step 80/348 loss 0.3461
  ep11 step 100/348 loss 0.3425
  ep11 step 120/348 loss 0.3396
  ep11 step 140/348 loss 0.3423
  ep11 step 160/348 loss 0.3439
  ep11 step 180/348 loss 0.3446
  ep11 step 200/348 loss 0.3405
  ep11 step 220/348 loss 0.3397
  ep11 step 240/348 loss 0.3413
  ep11 step 260/348 loss 0.3447
  ep11 step 280/348 loss 0.3461
  ep11 step 300/348 loss 0.3453
  ep11 step 320/348 loss 0.3450
  ep11 step 340/348 loss 0.3473
[grader] epoch 11/30 loss 0.3474 AUC(ref) 0.8923 QWK 0.7022 acc 0.5615 sens(g>=3) 0.7344
  ep12 step 0/348 loss 0.2839
  ep12 step 20/348 loss 0.3339
  ep12 step 40/348 loss 0.3559
  ep12 step 60/348 loss 0.3455
  ep12 step 80/348 loss 0.3450
  ep12 step 100/348 loss 0.3470
  ep12 step 120/348 loss 0.3457
  ep12 step 140/348 loss 0.3479
  ep12 step 160/348 loss 0.3497
  ep12 step 180/348 loss 0.3523
  ep12 step 200/348 loss 0.3495
  ep12 step 220/348 loss 0.3490
  ep12 step 240/348 loss 0.3475
  ep12 step 260/348 loss 0.3433
  ep12 step 280/348 loss 0.3409
  ep12 step 300/348 loss 0.3394
  ep12 step 320/348 loss 0.3391
  ep12 step 340/348 loss 0.3401
[grader] epoch 12/30 loss 0.3403 AUC(ref) 0.8950 QWK 0.7043 acc 0.5615 sens(g>=3) 0.7469
  ep13 step 0/348 loss 0.4209
  ep13 step 20/348 loss 0.3542
  ep13 step 40/348 loss 0.3554
  ep13 step 60/348 loss 0.3551
  ep13 step 80/348 loss 0.3551
  ep13 step 100/348 loss 0.3482
  ep13 step 120/348 loss 0.3426
  ep13 step 140/348 loss 0.3430
  ep13 step 160/348 loss 0.3458
  ep13 step 180/348 loss 0.3447
  ep13 step 200/348 loss 0.3448
  ep13 step 220/348 loss 0.3443
  ep13 step 240/348 loss 0.3449
  ep13 step 260/348 loss 0.3441
  ep13 step 280/348 loss 0.3436
  ep13 step 300/348 loss 0.3417
  ep13 step 320/348 loss 0.3419
  ep13 step 340/348 loss 0.3415
[grader] epoch 13/30 loss 0.3412 AUC(ref) 0.8960 QWK 0.7032 acc 0.5615 sens(g>=3) 0.7635
