arm=cnn  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
[grader] epoch 10/30 loss 0.1374 AUC(ref) 0.9542 QWK 0.8446 acc 0.7285 sens(g>=3) 0.7925
  ep11 step 0/348 loss 0.1044
  ep11 step 20/348 loss 0.1362
  ep11 step 40/348 loss 0.1413
  ep11 step 60/348 loss 0.1353
  ep11 step 80/348 loss 0.1293
  ep11 step 100/348 loss 0.1292
  ep11 step 120/348 loss 0.1271
  ep11 step 140/348 loss 0.1261
  ep11 step 160/348 loss 0.1236
  ep11 step 180/348 loss 0.1241
  ep11 step 200/348 loss 0.1216
  ep11 step 220/348 loss 0.1200
  ep11 step 240/348 loss 0.1180
  ep11 step 260/348 loss 0.1188
  ep11 step 280/348 loss 0.1176
  ep11 step 300/348 loss 0.1195
  ep11 step 320/348 loss 0.1199
  ep11 step 340/348 loss 0.1196
[grader] epoch 11/30 loss 0.1201 AUC(ref) 0.9538 QWK 0.8514 acc 0.7389 sens(g>=3) 0.8050
  ep12 step 0/348 loss 0.1118
  ep12 step 20/348 loss 0.1153
  ep12 step 40/348 loss 0.1039
  ep12 step 60/348 loss 0.0995
  ep12 step 80/348 loss 0.1014
  ep12 step 100/348 loss 0.1043
  ep12 step 120/348 loss 0.1091
  ep12 step 140/348 loss 0.1070
  ep12 step 160/348 loss 0.1042
  ep12 step 180/348 loss 0.1051
  ep12 step 200/348 loss 0.1042
  ep12 step 220/348 loss 0.1056
  ep12 step 240/348 loss 0.1052
  ep12 step 260/348 loss 0.1066
  ep12 step 280/348 loss 0.1070
  ep12 step 300/348 loss 0.1064
  ep12 step 320/348 loss 0.1073
  ep12 step 340/348 loss 0.1067
[grader] epoch 12/30 loss 0.1064 AUC(ref) 0.9540 QWK 0.8530 acc 0.7497 sens(g>=3) 0.8133
  ep13 step 0/348 loss 0.1117
  ep13 step 20/348 loss 0.0890
  ep13 step 40/348 loss 0.1005
  ep13 step 60/348 loss 0.0978
  ep13 step 80/348 loss 0.0965
  ep13 step 100/348 loss 0.0995
  ep13 step 120/348 loss 0.1032
  ep13 step 140/348 loss 0.0987
  ep13 step 160/348 loss 0.1010
  ep13 step 180/348 loss 0.0972
  ep13 step 200/348 loss 0.0999
  ep13 step 220/348 loss 0.0998
  ep13 step 240/348 loss 0.0986
  ep13 step 260/348 loss 0.0972
  ep13 step 280/348 loss 0.0956
  ep13 step 300/348 loss 0.0948
  ep13 step 320/348 loss 0.0936
  ep13 step 340/348 loss 0.0943
[grader] epoch 13/30 loss 0.0949 AUC(ref) 0.9543 QWK 0.8536 acc 0.7565 sens(g>=3) 0.8050
  ep14 step 0/348 loss 0.1263
  ep14 step 20/348 loss 0.0975
  ep14 step 40/348 loss 0.1006
  ep14 step 60/348 loss 0.0964
  ep14 step 80/348 loss 0.0952
  ep14 step 100/348 loss 0.0931
  ep14 step 120/348 loss 0.0884
  ep14 step 140/348 loss 0.0884
  ep14 step 160/348 loss 0.0889
  ep14 step 180/348 loss 0.0886
  ep14 step 200/348 loss 0.0880
  ep14 step 220/348 loss 0.0882
  ep14 step 240/348 loss 0.0880
  ep14 step 260/348 loss 0.0858
  ep14 step 280/348 loss 0.0874
  ep14 step 300/348 loss 0.0859
  ep14 step 320/348 loss 0.0838
  ep14 step 340/348 loss 0.0834
[grader] epoch 14/30 loss 0.0838 AUC(ref) 0.9556 QWK 0.8536 acc 0.7681 sens(g>=3) 0.8050
  ep15 step 0/348 loss 0.0219
  ep15 step 20/348 loss 0.0894
  ep15 step 40/348 loss 0.1015
  ep15 step 60/348 loss 0.0903
  ep15 step 80/348 loss 0.0818
  ep15 step 100/348 loss 0.0801
  ep15 step 120/348 loss 0.0798
  ep15 step 140/348 loss 0.0783
  ep15 step 160/348 loss 0.0794
  ep15 step 180/348 loss 0.0773
  ep15 step 200/348 loss 0.0780
  ep15 step 220/348 loss 0.0776
  ep15 step 240/348 loss 0.0783
  ep15 step 260/348 loss 0.0789
  ep15 step 280/348 loss 0.0786
  ep15 step 300/348 loss 0.0777
  ep15 step 320/348 loss 0.0768
  ep15 step 340/348 loss 0.0764
[grader] epoch 15/30 loss 0.0765 AUC(ref) 0.9563 QWK 0.8544 acc 0.7709 sens(g>=3) 0.8091
  ep16 step 0/348 loss 0.0569
  ep16 step 20/348 loss 0.0727
  ep16 step 40/348 loss 0.0718
  ep16 step 60/348 loss 0.0654
  ep16 step 80/348 loss 0.0711
  ep16 step 100/348 loss 0.0743
  ep16 step 120/348 loss 0.0772
  ep16 step 140/348 loss 0.0753
  ep16 step 160/348 loss 0.0728
  ep16 step 180/348 loss 0.0738
  ep16 step 200/348 loss 0.0736
  ep16 step 220/348 loss 0.0729
  ep16 step 240/348 loss 0.0740
  ep16 step 260/348 loss 0.0728
  ep16 step 280/348 loss 0.0718
  ep16 step 300/348 loss 0.0724
  ep16 step 320/348 loss 0.0719
  ep16 step 340/348 loss 0.0709
[grader] epoch 16/30 loss 0.0704 AUC(ref) 0.9566 QWK 0.8512 acc 0.7737 sens(g>=3) 0.8091
  ep17 step 0/348 loss 0.1463
  ep17 step 20/348 loss 0.0711
  ep17 step 40/348 loss 0.0671
  ep17 step 60/348 loss 0.0601
  ep17 step 80/348 loss 0.0607
  ep17 step 100/348 loss 0.0662
  ep17 step 120/348 loss 0.0658
  ep17 step 140/348 loss 0.0638
  ep17 step 160/348 loss 0.0628
  ep17 step 180/348 loss 0.0635
  ep17 step 200/348 loss 0.0651
  ep17 step 220/348 loss 0.0654
  ep17 step 240/348 loss 0.0656
  ep17 step 260/348 loss 0.0649
  ep17 step 280/348 loss 0.0649
  ep17 step 300/348 loss 0.0658
  ep17 step 320/348 loss 0.0646
  ep17 step 340/348 loss 0.0644
[grader] epoch 17/30 loss 0.0643 AUC(ref) 0.9558 QWK 0.8489 acc 0.7737 sens(g>=3) 0.8133
  ep18 step 0/348 loss 0.0920
  ep18 step 20/348 loss 0.0576
  ep18 step 40/348 loss 0.0662
  ep18 step 60/348 loss 0.0616
  ep18 step 80/348 loss 0.0589
  ep18 step 100/348 loss 0.0588
  ep18 step 120/348 loss 0.0609
  ep18 step 140/348 loss 0.0630
  ep18 step 160/348 loss 0.0628
  ep18 step 180/348 loss 0.0619
  ep18 step 200/348 loss 0.0614
  ep18 step 220/348 loss 0.0608
  ep18 step 240/348 loss 0.0632
  ep18 step 260/348 loss 0.0627
  ep18 step 280/348 loss 0.0626
  ep18 step 300/348 loss 0.0617
  ep18 step 320/348 loss 0.0610
  ep18 step 340/348 loss 0.0606
[grader] epoch 18/30 loss 0.0603 AUC(ref) 0.9550 QWK 0.8461 acc 0.7713 sens(g>=3) 0.8174
  ep19 step 0/348 loss 0.0309
  ep19 step 20/348 loss 0.0542
  ep19 step 40/348 loss 0.0585
  ep19 step 60/348 loss 0.0609
  ep19 step 80/348 loss 0.0535
  ep19 step 100/348 loss 0.0520
  ep19 step 120/348 loss 0.0511
  ep19 step 140/348 loss 0.0505
  ep19 step 160/348 loss 0.0515
  ep19 step 180/348 loss 0.0521
  ep19 step 200/348 loss 0.0526
  ep19 step 220/348 loss 0.0535
  ep19 step 240/348 loss 0.0528
  ep19 step 260/348 loss 0.0522
  ep19 step 280/348 loss 0.0539
  ep19 step 300/348 loss 0.0539
  ep19 step 320/348 loss 0.0535
  ep19 step 340/348 loss 0.0535
[grader] epoch 19/30 loss 0.0537 AUC(ref) 0.9556 QWK 0.8450 acc 0.7757 sens(g>=3) 0.8133
  ep20 step 0/348 loss 0.0411
  ep20 step 20/348 loss 0.0481
  ep20 step 40/348 loss 0.0459
  ep20 step 60/348 loss 0.0530
  ep20 step 80/348 loss 0.0546
  ep20 step 100/348 loss 0.0550
  ep20 step 120/348 loss 0.0563
  ep20 step 140/348 loss 0.0600
  ep20 step 160/348 loss 0.0572
  ep20 step 180/348 loss 0.0563
  ep20 step 200/348 loss 0.0554
  ep20 step 220/348 loss 0.0564
  ep20 step 240/348 loss 0.0550
  ep20 step 260/348 loss 0.0544
  ep20 step 280/348 loss 0.0532
  ep20 step 300/348 loss 0.0517
  ep20 step 320/348 loss 0.0516
  ep20 step 340/348 loss 0.0524
[grader] epoch 20/30 loss 0.0521 AUC(ref) 0.9550 QWK 0.8487 acc 0.7753 sens(g>=3) 0.8091
  ep21 step 0/348 loss 0.0382
  ep21 step 20/348 loss 0.0426
  ep21 step 40/348 loss 0.0474
  ep21 step 60/348 loss 0.0453
  ep21 step 80/348 loss 0.0432
  ep21 step 100/348 loss 0.0440
  ep21 step 120/348 loss 0.0448
  ep21 step 140/348 loss 0.0441
  ep21 step 160/348 loss 0.0450
  ep21 step 180/348 loss 0.0452
  ep21 step 200/348 loss 0.0446
  ep21 step 220/348 loss 0.0437
  ep21 step 240/348 loss 0.0440
  ep21 step 260/348 loss 0.0441
  ep21 step 280/348 loss 0.0447
  ep21 step 300/348 loss 0.0443
  ep21 step 320/348 loss 0.0447
  ep21 step 340/348 loss 0.0441
[grader] epoch 21/30 loss 0.0440 AUC(ref) 0.9550 QWK 0.8473 acc 0.7769 sens(g>=3) 0.8174
  ep22 step 0/348 loss 0.1207
  ep22 step 20/348 loss 0.0597
  ep22 step 40/348 loss 0.0563
  ep22 step 60/348 loss 0.0515
  ep22 step 80/348 loss 0.0508
  ep22 step 100/348 loss 0.0520
  ep22 step 120/348 loss 0.0486
  ep22 step 140/348 loss 0.0484
  ep22 step 160/348 loss 0.0481
  ep22 step 180/348 loss 0.0466
  ep22 step 200/348 loss 0.0445
  ep22 step 220/348 loss 0.0449
  ep22 step 240/348 loss 0.0437
  ep22 step 260/348 loss 0.0438
  ep22 step 280/348 loss 0.0433
  ep22 step 300/348 loss 0.0435
  ep22 step 320/348 loss 0.0436
  ep22 step 340/348 loss 0.0431
[grader] epoch 22/30 loss 0.0427 AUC(ref) 0.9544 QWK 0.8466 acc 0.7761 sens(g>=3) 0.8133
  ep23 step 0/348 loss 0.0163
  ep23 step 20/348 loss 0.0365
  ep23 step 40/348 loss 0.0402
  ep23 step 60/348 loss 0.0370
  ep23 step 80/348 loss 0.0405
  ep23 step 100/348 loss 0.0399
  ep23 step 120/348 loss 0.0399
  ep23 step 140/348 loss 0.0393
  ep23 step 160/348 loss 0.0383
  ep23 step 180/348 loss 0.0391
  ep23 step 200/348 loss 0.0397
  ep23 step 220/348 loss 0.0408
  ep23 step 240/348 loss 0.0409
  ep23 step 260/348 loss 0.0410
  ep23 step 280/348 loss 0.0408
  ep23 step 300/348 loss 0.0409
  ep23 step 320/348 loss 0.0407
  ep23 step 340/348 loss 0.0401
[grader] epoch 23/30 loss 0.0401 AUC(ref) 0.9538 QWK 0.8476 acc 0.7749 sens(g>=3) 0.8133
  ep24 step 0/348 loss 0.0400
  ep24 step 20/348 loss 0.0333
  ep24 step 40/348 loss 0.0385
  ep24 step 60/348 loss 0.0386
  ep24 step 80/348 loss 0.0404
  ep24 step 100/348 loss 0.0395
  ep24 step 120/348 loss 0.0392
  ep24 step 140/348 loss 0.0400
