arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep11 step 160/348 loss 0.4520
  ep11 step 180/348 loss 0.4522
  ep11 step 200/348 loss 0.4524
  ep11 step 220/348 loss 0.4488
  ep11 step 240/348 loss 0.4516
  ep11 step 260/348 loss 0.4527
  ep11 step 280/348 loss 0.4517
  ep11 step 300/348 loss 0.4502
  ep11 step 320/348 loss 0.4498
  ep11 step 340/348 loss 0.4492
[grader] epoch 11/30 loss 0.4494 AUC(ref) 0.7925 QWK 0.5062 acc 0.3432 sens(g>=3) 0.6888
  ep12 step 0/348 loss 0.4237
  ep12 step 20/348 loss 0.4605
  ep12 step 40/348 loss 0.4460
  ep12 step 60/348 loss 0.4495
  ep12 step 80/348 loss 0.4466
  ep12 step 100/348 loss 0.4459
  ep12 step 120/348 loss 0.4467
  ep12 step 140/348 loss 0.4477
  ep12 step 160/348 loss 0.4466
  ep12 step 180/348 loss 0.4462
  ep12 step 200/348 loss 0.4473
  ep12 step 220/348 loss 0.4449
  ep12 step 240/348 loss 0.4447
  ep12 step 260/348 loss 0.4422
  ep12 step 280/348 loss 0.4424
  ep12 step 300/348 loss 0.4436
  ep12 step 320/348 loss 0.4440
  ep12 step 340/348 loss 0.4431
[grader] epoch 12/30 loss 0.4443 AUC(ref) 0.7932 QWK 0.5105 acc 0.3540 sens(g>=3) 0.6929
  ep13 step 0/348 loss 0.4311
  ep13 step 20/348 loss 0.4502
  ep13 step 40/348 loss 0.4494
  ep13 step 60/348 loss 0.4433
  ep13 step 80/348 loss 0.4483
  ep13 step 100/348 loss 0.4490
  ep13 step 120/348 loss 0.4444
  ep13 step 140/348 loss 0.4444
  ep13 step 160/348 loss 0.4462
  ep13 step 180/348 loss 0.4442
  ep13 step 200/348 loss 0.4440
  ep13 step 220/348 loss 0.4440
  ep13 step 240/348 loss 0.4449
  ep13 step 260/348 loss 0.4465
  ep13 step 280/348 loss 0.4468
  ep13 step 300/348 loss 0.4461
  ep13 step 320/348 loss 0.4453
  ep13 step 340/348 loss 0.4451
[grader] epoch 13/30 loss 0.4460 AUC(ref) 0.7934 QWK 0.5106 acc 0.3616 sens(g>=3) 0.7012
  ep14 step 0/348 loss 0.3796
