arm=cnn  train 5941  val 1860  classes 5
grade distribution (train): [1840, 926, 1840, 415, 920]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:25.7%  1:18.2%  2:25.7%  3:12.2%  4:18.2%
  ep15 step 300/371 loss 0.0965
  ep15 step 320/371 loss 0.0955
  ep15 step 340/371 loss 0.0959
  ep15 step 360/371 loss 0.0951
[grader] epoch 15/30 loss 0.0950 AUC(ref) 0.9529 QWK 0.8601 acc 0.7511 sens(g>=3) 0.7948
  ep16 step 0/371 loss 0.1378
  ep16 step 20/371 loss 0.1057
  ep16 step 40/371 loss 0.0926
  ep16 step 60/371 loss 0.0943
  ep16 step 80/371 loss 0.0920
  ep16 step 100/371 loss 0.0888
  ep16 step 120/371 loss 0.0870
  ep16 step 140/371 loss 0.0853
  ep16 step 160/371 loss 0.0895
  ep16 step 180/371 loss 0.0876
  ep16 step 200/371 loss 0.0844
  ep16 step 220/371 loss 0.0829
  ep16 step 240/371 loss 0.0825
  ep16 step 260/371 loss 0.0830
  ep16 step 280/371 loss 0.0817
  ep16 step 300/371 loss 0.0810
  ep16 step 320/371 loss 0.0792
  ep16 step 340/371 loss 0.0787
  ep16 step 360/371 loss 0.0802
[grader] epoch 16/30 loss 0.0805 AUC(ref) 0.9530 QWK 0.8582 acc 0.7527 sens(g>=3) 0.7873
  ep17 step 0/371 loss 0.0271
  ep17 step 20/371 loss 0.0902
  ep17 step 40/371 loss 0.0779
  ep17 step 60/371 loss 0.0765
  ep17 step 80/371 loss 0.0756
  ep17 step 100/371 loss 0.0738
  ep17 step 120/371 loss 0.0728
  ep17 step 140/371 loss 0.0732
  ep17 step 160/371 loss 0.0747
  ep17 step 180/371 loss 0.0728
  ep17 step 200/371 loss 0.0731
  ep17 step 220/371 loss 0.0729
  ep17 step 240/371 loss 0.0721
  ep17 step 260/371 loss 0.0727
  ep17 step 280/371 loss 0.0746
  ep17 step 300/371 loss 0.0751
  ep17 step 320/371 loss 0.0749
  ep17 step 340/371 loss 0.0737
  ep17 step 360/371 loss 0.0748
[grader] epoch 17/30 loss 0.0750 AUC(ref) 0.9531 QWK 0.8578 acc 0.7543 sens(g>=3) 0.8022
  ep18 step 0/371 loss 0.0747
  ep18 step 20/371 loss 0.0817
  ep18 step 40/371 loss 0.0826
  ep18 step 60/371 loss 0.0756
  ep18 step 80/371 loss 0.0789
  ep18 step 100/371 loss 0.0782
  ep18 step 120/371 loss 0.0754
  ep18 step 140/371 loss 0.0749
  ep18 step 160/371 loss 0.0733
  ep18 step 180/371 loss 0.0712
  ep18 step 200/371 loss 0.0707
  ep18 step 220/371 loss 0.0718
  ep18 step 240/371 loss 0.0697
  ep18 step 260/371 loss 0.0694
  ep18 step 280/371 loss 0.0681
  ep18 step 300/371 loss 0.0684
  ep18 step 320/371 loss 0.0677
  ep18 step 340/371 loss 0.0691
  ep18 step 360/371 loss 0.0682
[grader] epoch 18/30 loss 0.0686 AUC(ref) 0.9532 QWK 0.8586 acc 0.7500 sens(g>=3) 0.7910
  ep19 step 0/371 loss 0.0162
  ep19 step 20/371 loss 0.0654
  ep19 step 40/371 loss 0.0583
  ep19 step 60/371 loss 0.0569
  ep19 step 80/371 loss 0.0594
  ep19 step 100/371 loss 0.0624
  ep19 step 120/371 loss 0.0645
  ep19 step 140/371 loss 0.0622
  ep19 step 160/371 loss 0.0629
  ep19 step 180/371 loss 0.0639
  ep19 step 200/371 loss 0.0653
  ep19 step 220/371 loss 0.0644
  ep19 step 240/371 loss 0.0643
  ep19 step 260/371 loss 0.0656
  ep19 step 280/371 loss 0.0660
  ep19 step 300/371 loss 0.0662
  ep19 step 320/371 loss 0.0669
  ep19 step 340/371 loss 0.0664
  ep19 step 360/371 loss 0.0664
[grader] epoch 19/30 loss 0.0662 AUC(ref) 0.9537 QWK 0.8556 acc 0.7559 sens(g>=3) 0.7724
  ep20 step 0/371 loss 0.0705
  ep20 step 20/371 loss 0.0599
  ep20 step 40/371 loss 0.0595
  ep20 step 60/371 loss 0.0615
  ep20 step 80/371 loss 0.0604
  ep20 step 100/371 loss 0.0577
  ep20 step 120/371 loss 0.0592
  ep20 step 140/371 loss 0.0570
  ep20 step 160/371 loss 0.0569
  ep20 step 180/371 loss 0.0562
  ep20 step 200/371 loss 0.0553
  ep20 step 220/371 loss 0.0555
  ep20 step 240/371 loss 0.0551
  ep20 step 260/371 loss 0.0548
  ep20 step 280/371 loss 0.0550
  ep20 step 300/371 loss 0.0547
  ep20 step 320/371 loss 0.0549
  ep20 step 340/371 loss 0.0554
  ep20 step 360/371 loss 0.0559
[grader] epoch 20/30 loss 0.0560 AUC(ref) 0.9541 QWK 0.8563 acc 0.7570 sens(g>=3) 0.7724
  ep21 step 0/371 loss 0.0031
  ep21 step 20/371 loss 0.0719
  ep21 step 40/371 loss 0.0575
  ep21 step 60/371 loss 0.0643
  ep21 step 80/371 loss 0.0617
  ep21 step 100/371 loss 0.0630
  ep21 step 120/371 loss 0.0626
  ep21 step 140/371 loss 0.0604
  ep21 step 160/371 loss 0.0579
  ep21 step 180/371 loss 0.0563
  ep21 step 200/371 loss 0.0557
  ep21 step 220/371 loss 0.0579
  ep21 step 240/371 loss 0.0571
  ep21 step 260/371 loss 0.0564
  ep21 step 280/371 loss 0.0562
  ep21 step 300/371 loss 0.0573
  ep21 step 320/371 loss 0.0577
