Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep13 step 340/348 loss 0.0886
[grader] epoch 13/30 loss 0.0893 AUC(ref) 0.9525 QWK 0.8434 acc 0.7597 sens(g>=3) 0.8257
  ep14 step 0/348 loss 0.0474
  ep14 step 20/348 loss 0.0876
  ep14 step 40/348 loss 0.0808
  ep14 step 60/348 loss 0.0902
  ep14 step 80/348 loss 0.0916
  ep14 step 100/348 loss 0.0863
  ep14 step 120/348 loss 0.0840
  ep14 step 140/348 loss 0.0849
  ep14 step 160/348 loss 0.0839
  ep14 step 180/348 loss 0.0840
  ep14 step 200/348 loss 0.0830
  ep14 step 220/348 loss 0.0827
  ep14 step 240/348 loss 0.0825
  ep14 step 260/348 loss 0.0812
  ep14 step 280/348 loss 0.0819
  ep14 step 300/348 loss 0.0815
  ep14 step 320/348 loss 0.0825
  ep14 step 340/348 loss 0.0802
[grader] epoch 14/30 loss 0.0801 AUC(ref) 0.9518 QWK 0.8411 acc 0.7593 sens(g>=3) 0.8299
  ep15 step 0/348 loss 0.0931
  ep15 step 20/348 loss 0.0727
  ep15 step 40/348 loss 0.0679
  ep15 step 60/348 loss 0.0637
  ep15 step 80/348 loss 0.0624
  ep15 step 100/348 loss 0.0674
  ep15 step 120/348 loss 0.0704
  ep15 step 140/348 loss 0.0699
  ep15 step 160/348 loss 0.0721
  ep15 step 180/348 loss 0.0722
  ep15 step 200/348 loss 0.0715
  ep15 step 220/348 loss 0.0705
  ep15 step 240/348 loss 0.0703
  ep15 step 260/348 loss 0.0706
  ep15 step 280/348 loss 0.0704
  ep15 step 300/348 loss 0.0694
  ep15 step 320/348 loss 0.0691
  ep15 step 340/348 loss 0.0701
[grader] epoch 15/30 loss 0.0700 AUC(ref) 0.9517 QWK 0.8437 acc 0.7649 sens(g>=3) 0.8216
  ep16 step 0/348 loss 0.0283
  ep16 step 20/348 loss 0.0568
  ep16 step 40/348 loss 0.0563
  ep16 step 60/348 loss 0.0590
  ep16 step 80/348 loss 0.0603
  ep16 step 100/348 loss 0.0606
  ep16 step 120/348 loss 0.0599
  ep16 step 140/348 loss 0.0600
  ep16 step 160/348 loss 0.0586
  ep16 step 180/348 loss 0.0578
  ep16 step 200/348 loss 0.0574
  ep16 step 220/348 loss 0.0600
  ep16 step 240/348 loss 0.0608
  ep16 step 260/348 loss 0.0608
  ep16 step 280/348 loss 0.0614
  ep16 step 300/348 loss 0.0616
  ep16 step 320/348 loss 0.0623
  ep16 step 340/348 loss 0.0620
[grader] epoch 16/30 loss 0.0623 AUC(ref) 0.9508 QWK 0.8405 acc 0.7669 sens(g>=3) 0.8216
  ep17 step 0/348 loss 0.0158
  ep17 step 20/348 loss 0.0579
  ep17 step 40/348 loss 0.0565
  ep17 step 60/348 loss 0.0628
  ep17 step 80/348 loss 0.0588
  ep17 step 100/348 loss 0.0560
  ep17 step 120/348 loss 0.0559
  ep17 step 140/348 loss 0.0572
  ep17 step 160/348 loss 0.0579
  ep17 step 180/348 loss 0.0589
  ep17 step 200/348 loss 0.0614
  ep17 step 220/348 loss 0.0622
