Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep21 step 160/348 loss 0.0457
  ep21 step 180/348 loss 0.0480
  ep21 step 200/348 loss 0.0484
  ep21 step 220/348 loss 0.0483
  ep21 step 240/348 loss 0.0473
  ep21 step 260/348 loss 0.0467
  ep21 step 280/348 loss 0.0468
  ep21 step 300/348 loss 0.0475
  ep21 step 320/348 loss 0.0475
  ep21 step 340/348 loss 0.0470
[grader] epoch 21/30 loss 0.0466 AUC(ref) 0.9511 QWK 0.8529 acc 0.7765 sens(g>=3) 0.8382
  ep22 step 0/348 loss 0.1256
  ep22 step 20/348 loss 0.0506
  ep22 step 40/348 loss 0.0385
  ep22 step 60/348 loss 0.0408
  ep22 step 80/348 loss 0.0455
  ep22 step 100/348 loss 0.0443
  ep22 step 120/348 loss 0.0421
  ep22 step 140/348 loss 0.0428
  ep22 step 160/348 loss 0.0425
  ep22 step 180/348 loss 0.0421
  ep22 step 200/348 loss 0.0422
  ep22 step 220/348 loss 0.0428
  ep22 step 240/348 loss 0.0444
  ep22 step 260/348 loss 0.0455
  ep22 step 280/348 loss 0.0451
  ep22 step 300/348 loss 0.0452
  ep22 step 320/348 loss 0.0452
  ep22 step 340/348 loss 0.0451
[grader] epoch 22/30 loss 0.0451 AUC(ref) 0.9512 QWK 0.8530 acc 0.7785 sens(g>=3) 0.8382
  ep23 step 0/348 loss 0.0125
  ep23 step 20/348 loss 0.0448
  ep23 step 40/348 loss 0.0459
  ep23 step 60/348 loss 0.0437
  ep23 step 80/348 loss 0.0450
  ep23 step 100/348 loss 0.0459
  ep23 step 120/348 loss 0.0449
  ep23 step 140/348 loss 0.0453
  ep23 step 160/348 loss 0.0467
  ep23 step 180/348 loss 0.0465
  ep23 step 200/348 loss 0.0458
  ep23 step 220/348 loss 0.0445
  ep23 step 240/348 loss 0.0437
  ep23 step 260/348 loss 0.0426
  ep23 step 280/348 loss 0.0415
  ep23 step 300/348 loss 0.0422
  ep23 step 320/348 loss 0.0410
  ep23 step 340/348 loss 0.0401
[grader] epoch 23/30 loss 0.0406 AUC(ref) 0.9510 QWK 0.8513 acc 0.7785 sens(g>=3) 0.8257
  ep24 step 0/348 loss 0.1289
  ep24 step 20/348 loss 0.0467
  ep24 step 40/348 loss 0.0415
  ep24 step 60/348 loss 0.0450
  ep24 step 80/348 loss 0.0453
  ep24 step 100/348 loss 0.0431
  ep24 step 120/348 loss 0.0439
  ep24 step 140/348 loss 0.0450
  ep24 step 160/348 loss 0.0433
  ep24 step 180/348 loss 0.0435
  ep24 step 200/348 loss 0.0433
  ep24 step 220/348 loss 0.0432
  ep24 step 240/348 loss 0.0422
  ep24 step 260/348 loss 0.0418
  ep24 step 280/348 loss 0.0408
  ep24 step 300/348 loss 0.0404
  ep24 step 320/348 loss 0.0406
  ep24 step 340/348 loss 0.0404
[grader] epoch 24/30 loss 0.0403 AUC(ref) 0.9515 QWK 0.8527 acc 0.7833 sens(g>=3) 0.8340
  ep25 step 0/348 loss 0.0030
  ep25 step 20/348 loss 0.0384
  ep25 step 40/348 loss 0.0487
  ep25 step 60/348 loss 0.0417
  ep25 step 80/348 loss 0.0418
  ep25 step 100/348 loss 0.0394
  ep25 step 120/348 loss 0.0389
  ep25 step 140/348 loss 0.0395
  ep25 step 160/348 loss 0.0387
  ep25 step 180/348 loss 0.0380
  ep25 step 200/348 loss 0.0385
  ep25 step 220/348 loss 0.0377
  ep25 step 240/348 loss 0.0398
  ep25 step 260/348 loss 0.0389
