Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep12 step 60/348 loss 0.1031
  ep12 step 80/348 loss 0.1064
  ep12 step 100/348 loss 0.1087
  ep12 step 120/348 loss 0.1096
  ep12 step 140/348 loss 0.1126
  ep12 step 160/348 loss 0.1096
  ep12 step 180/348 loss 0.1110
  ep12 step 200/348 loss 0.1106
  ep12 step 220/348 loss 0.1089
  ep12 step 240/348 loss 0.1092
  ep12 step 260/348 loss 0.1107
  ep12 step 280/348 loss 0.1085
  ep12 step 300/348 loss 0.1080
  ep12 step 320/348 loss 0.1067
  ep12 step 340/348 loss 0.1072
[grader] epoch 12/30 loss 0.1073 AUC(ref) 0.9585 QWK 0.8589 acc 0.7789 sens(g>=3) 0.8174
  ep13 step 0/348 loss 0.0390
  ep13 step 20/348 loss 0.0840
  ep13 step 40/348 loss 0.0932
  ep13 step 60/348 loss 0.1000
  ep13 step 80/348 loss 0.0999
  ep13 step 100/348 loss 0.0965
  ep13 step 120/348 loss 0.0966
  ep13 step 140/348 loss 0.0985
  ep13 step 160/348 loss 0.0973
  ep13 step 180/348 loss 0.0981
  ep13 step 200/348 loss 0.0992
  ep13 step 220/348 loss 0.0988
  ep13 step 240/348 loss 0.0974
  ep13 step 260/348 loss 0.0974
  ep13 step 280/348 loss 0.0962
  ep13 step 300/348 loss 0.0950
  ep13 step 320/348 loss 0.0949
  ep13 step 340/348 loss 0.0953
[grader] epoch 13/30 loss 0.0952 AUC(ref) 0.9581 QWK 0.8570 acc 0.7805 sens(g>=3) 0.8216
  ep14 step 0/348 loss 0.0842
  ep14 step 20/348 loss 0.1014
  ep14 step 40/348 loss 0.0927
  ep14 step 60/348 loss 0.1007
  ep14 step 80/348 loss 0.0996
  ep14 step 100/348 loss 0.1010
  ep14 step 120/348 loss 0.0983
  ep14 step 140/348 loss 0.0980
  ep14 step 160/348 loss 0.0982
  ep14 step 180/348 loss 0.0968
  ep14 step 200/348 loss 0.0944
  ep14 step 220/348 loss 0.0944
  ep14 step 240/348 loss 0.0925
  ep14 step 260/348 loss 0.0923
  ep14 step 280/348 loss 0.0937
  ep14 step 300/348 loss 0.0932
  ep14 step 320/348 loss 0.0936
  ep14 step 340/348 loss 0.0931
